epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,128.028,3.10583,0.34853,0.7102,2.25171,7.08695e-05,7.08695e-05,7.08695e-05
2,257.842,1.92604,0.40975,0.778,1.91815,0.000127824,0.000127824,0.000127824
3,379.02,1.63815,0.43175,0.78549,1.84951,0.000170721,0.000170721,0.000170721
4,496.231,1.50321,0.42993,0.81905,1.78637,0.000149739,0.000149739,0.000149739
5,613.475,1.41337,0.43832,0.822,1.76674,0.000128652,0.000128652,0.000128652
6,730.729,1.35918,0.44399,0.82834,1.74307,0.000107565,0.000107565,0.000107565
7,870.561,1.32974,0.45397,0.8288,1.72196,8.6478e-05,8.6478e-05,8.6478e-05
8,1024.42,1.29799,0.4542,0.83492,1.71736,6.5391e-05,6.5391e-05,6.5391e-05
9,1148.74,1.27999,0.45034,0.83152,1.70746,4.4304e-05,4.4304e-05,4.4304e-05
10,1271.7,1.27471,0.46463,0.83152,1.68685,2.3217e-05,2.3217e-05,2.3217e-05
